year,salmon_fresh
"1990	",35946.87
"1991	",39709.15
"1992	",48843.22
"1993	",62864.66
"1994	",68252.02
"1995	",80211.52
"1996	",88018.52
"1997	",88018.52
"1998	",107302.01
"1999	",114614.5
"2000	",119365.97
"2001	",132600.97
"2002	",149083.37
"2003	",132801.03
"2004	",121723.91
"2005	",142244.15
"2006	",171848.41
"2007	",178777.65
"2008	",182928.69
"2009	",198259.84
"2010	",203912.69
"2011	",192231.22
"2012	",222312.88
"2013	",190426.59
"2014	",172282.77
"2015	",236674.12
"2016	",239287.61
"2017	",262434.2
